ecotype_size,npop,omega,sigma,likelihood
5,3,0.00139,0.13203,0.11620
5,3,0.00203,0.14451,0.10600
5,3,0.00023,0.08021,0.12860
5,3,0.00046,0.12429,0.12750
5,3,0.00101,0.14243,0.10700
5,3,0.00178,0.18440,0.12460
6,4,0.00001,0.10636,0.14780
5,3,0.00069,0.16953,0.11530
5,3,0.00046,0.14117,0.12870
5,3,0.00093,0.12265,0.11470
5,3,0.00065,0.09002,0.13480
5,3,0.00125,0.13425,0.11610
1,2,0.00267,0.17109,0.028800
5,3,0.00084,0.19651,0.10790
5,3,0.00097,0.08875,0.13810
5,3,0.00163,0.16764,0.091300
5,3,0.00100,0.17475,0.13870
5,3,0.00070,0.19107,0.11120
5,3,0.00245,0.16471,0.10660
5,3,0.00237,0.19900,0.10240
5,3,0.00104,0.12459,0.11550
5,3,0.00121,0.18040,0.11500
5,3,0.00095,0.16373,0.10420
5,3,0.00043,0.13361,0.11640
6,4,0.00010,0.12533,0.17060
5,3,0.00086,0.23006,0.10330
1,2,0.00282,0.16704,0.035100
5,3,0.00020,0.08324,0.11740
1,2,0.00189,0.12859,0.027800
5,3,0.00062,0.11693,0.12820
5,3,0.00331,0.17951,0.094200
5,3,0.00210,0.14377,0.11750
5,3,0.00063,0.13843,0.13110
5,3,0.00136,0.16346,0.12470
5,3,0.00158,0.18543,0.094400
5,3,0.00139,0.14722,0.10100
5,3,0.00125,0.27428,0.11380
5,3,0.00127,0.13964,0.12660
5,3,0.00137,0.13988,0.11090
5,3,0.00042,0.14840,0.12850
5,3,0.00045,0.13037,0.13140
5,3,0.00041,0.16710,0.14070
1,2,0.00222,0.14888,0.034700
5,3,0.00165,0.11885,0.12690
1,2,0.00048,0.17452,0.037500
5,3,0.00111,0.13860,0.12820
5,3,0.00037,0.12821,0.11620
9,5,0.00039,0.13155,0.31170
5,3,0.00175,0.15318,0.13130
5,3,0.00169,0.19629,0.12410
5,3,0.00258,0.18022,0.11380
5,3,0.00121,0.13868,0.12480
5,3,0.00307,0.22141,0.10810
5,3,0.00175,0.14310,0.10610
5,3,0.00074,0.18250,0.11520
5,3,0.00217,0.16468,0.11830
5,3,0.00553,0.13612,0.00020000
5,3,0.00084,0.20338,0.10690
1,2,0.00252,0.16512,0.037500
5,3,0.00127,0.14891,0.099200
5,3,0.00026,0.16499,0.12280
5,3,0.00061,0.17950,0.12230
5,3,0.00342,0.25446,0.10430
5,3,0.00147,0.15578,0.11220
1,2,0.00196,0.15440,0.026200
5,3,0.00014,0.15056,0.11470
5,3,0.00139,0.13229,0.13640
5,3,0.00068,0.11678,0.10260
5,3,0.00121,0.14764,0.13780
5,3,0.00057,0.10615,0.13300
5,3,0.00058,0.17652,0.098900
5,3,0.00117,0.12597,0.11600
5,3,0.00123,0.16925,0.11620
5,3,0.00188,0.19962,0.10540
1,2,0.00316,0.20782,0.031000
5,3,0.00147,0.14876,0.14070
1,2,0.00253,0.15968,0.027200
5,3,0.00113,0.14911,0.12760
5,3,0.00265,0.19797,0.10330
5,3,0.00112,0.14161,0.099400
5,3,0.00038,0.11402,0.12100
5,3,0.00055,0.18344,0.11850
9,5,0.00062,0.19372,0.27430
1,2,0.00273,0.18039,0.030000
5,3,0.00105,0.11098,0.12380
5,3,0.00050,0.14673,0.13630
5,3,0.00145,0.11705,0.11190
5,3,0.00093,0.16051,0.11100
5,3,0.00066,0.14054,0.13920
5,3,0.00077,0.16311,0.13730
5,3,0.00070,0.13653,0.12450
5,3,0.00160,0.12949,0.11670
5,3,0.00121,0.17481,0.12240
5,3,0.00070,0.11932,0.11660
5,3,0.00200,0.16791,0.11950
5,3,0.00053,0.11947,0.13750
5,3,0.00104,0.13541,0.12510
5,3,0.00113,0.15469,0.12560
1,2,0.00247,0.16283,0.025700
1,2,0.00276,0.18950,0.023900
5,3,0.00044,0.14980,0.13610
5,3,0.00073,0.20064,0.10860
5,3,0.00161,0.13330,0.11980
1,2,0.00147,0.10768,0.028500
5,3,0.00066,0.15979,0.12260
5,3,0.00122,0.12049,0.13590
1,2,0.00179,0.12494,0.035300
5,3,0.00108,0.21536,0.11700
5,3,0.00165,0.11516,0.12580
5,3,0.00124,0.15431,0.12860
5,3,0.00278,0.18832,0.11600
1,2,0.00284,0.17425,0.023200
5,3,0.00155,0.13005,0.11810
5,3,0.00070,0.16855,0.098000
5,3,0.00086,0.09270,0.12820
5,3,0.00118,0.17431,0.12180
5,3,0.00094,0.19351,0.10990
5,3,0.00214,0.23089,0.10660
