ecotype_size,npop,omega,gene_numebr
5,3,0.00041,3
1,2,0.00222,3
5,3,0.00165,3
1,2,0.00048,3
5,3,0.00111,3
5,3,0.00037,3
9,5,0.00039,3
5,3,0.00175,3
5,3,0.00169,3
5,3,0.00258,3
5,3,0.00121,3
5,3,0.00307,3
5,3,0.00175,3
5,3,0.00074,3
5,3,0.00217,3
5,3,0.00553,3
5,3,0.00084,3
1,2,0.00252,3
5,3,0.00127,3
5,3,0.00026,3
5,3,0.00061,3
5,3,0.00342,3
5,3,0.00147,3
1,2,0.00196,3
5,3,0.00014,3
5,3,0.00139,3
5,3,0.00068,3
5,3,0.00121,3
5,3,0.00057,3
5,3,0.00058,3
5,3,0.00117,3
5,3,0.00123,3
5,3,0.00188,3
1,2,0.00316,3
5,3,0.00147,3
1,2,0.00253,3
5,3,0.00113,3
5,3,0.00265,3
5,3,0.00112,3
5,3,0.00038,3
5,3,0.00055,3
9,5,0.00062,3
1,2,0.00273,3
5,3,0.00105,3
5,3,0.00050,3
5,3,0.00145,3
5,3,0.00093,3
5,3,0.00066,3
5,3,0.00077,3
5,3,0.00070,3
5,3,0.00160,3
5,3,0.00121,3
5,3,0.00070,3
5,3,0.00200,3
5,3,0.00053,3
5,3,0.00104,3
5,3,0.00113,3
1,2,0.00247,3
1,2,0.00276,3
5,3,0.00044,3
5,3,0.00073,3
5,3,0.00161,3
1,2,0.00147,3
5,3,0.00066,3
5,3,0.00122,3
1,2,0.00179,3
5,3,0.00108,3
5,3,0.00165,3
5,3,0.00124,3
5,3,0.00278,3
1,2,0.00284,3
5,3,0.00155,3
5,3,0.00070,3
5,3,0.00086,3
5,3,0.00118,3
5,3,0.00094,3
5,3,0.00214,3
5,3,0.00071,3
5,3,0.00116,3
5,3,0.00190,3
5,3,0.00062,3
5,3,0.00064,3
5,3,0.00210,3
5,3,0.00090,3
1,2,0.00225,3
5,3,0.00099,3
9,5,0.00043,3
5,3,0.00104,3
5,3,0.00087,3
5,3,0.00206,3
5,3,0.00043,3
5,3,0.00129,3
5,3,0.00284,3
5,3,0.00270,3
5,3,0.00113,3
5,3,0.00102,3
5,3,0.00106,3
5,3,0.00030,3
5,3,0.00113,3
5,3,0.00218,3
5,3,0.00135,3
5,3,0.00129,3
5,3,0.00167,3
5,3,0.00062,3
5,3,0.00122,3
5,3,0.00205,3
5,3,0.00092,3
5,3,0.00100,3
5,3,0.00184,3
5,3,0.00079,3
5,3,0.00031,3
5,3,0.00099,3
6,4,0.00000,3
5,3,0.00061,3
5,3,0.00132,3
5,3,0.00059,3
5,3,0.00055,3
5,3,0.00038,3
5,3,0.00182,3
5,3,0.00147,3
5,3,0.00146,3
5,3,0.00132,3
5,3,0.00107,3
5,3,0.00273,3
5,3,0.00199,3
5,3,0.00138,3
9,5,0.00000,3
5,3,0.00103,3
5,3,0.00149,3
5,3,0.00184,3
6,4,0.00043,3
5,3,0.00190,3
5,3,0.00111,3
1,2,0.00324,3
5,3,0.00173,3
5,3,0.00033,3
5,3,0.00191,3
5,3,0.00076,3
5,3,0.00031,3
5,3,0.00129,3
5,3,0.00134,3
1,2,0.00298,3
5,3,0.00101,3
5,3,0.00141,3
5,3,0.00032,3
5,3,0.00130,3
5,3,0.00081,3
5,3,0.00112,3
5,3,0.00037,3
5,3,0.00017,3
5,3,0.00117,3
5,3,0.00089,3
5,3,0.00218,3
5,3,0.00039,3
5,3,0.00049,3
5,3,0.00122,3
5,3,0.00186,3
5,3,0.00383,3
5,3,0.00203,3
5,3,0.00056,3
5,3,0.00045,3
5,3,0.00066,3
5,3,0.00126,3
5,3,0.00084,3
5,3,0.00041,3
5,3,0.00057,3
5,3,0.00147,3
